Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+1.716115e-03 +6.369805e-01 +1.225940e+03 +3.100627e+02     Pix  3 18
+1.787294e-03 +6.680046e-01 +1.163544e+03 +3.521751e+02     Pix  3 19
+1.872681e-03 +7.469715e-01 +1.127239e+03 +3.697590e+02     Pix  3 20
+1.924875e-03 +7.438839e-01 +1.125938e+03 +3.979628e+02     Pix  3 21
+1.998628e-03 +7.761138e-01 +1.115586e+03 +3.789951e+02     Pix  3 22
+1.913266e-03 +7.693033e-01 +1.110092e+03 +3.815861e+02     Pix  3 23
+1.870305e-03 +7.367364e-01 +1.139845e+03 +3.759841e+02     Pix  3 24
+1.809979e-03 +7.593754e-01 +1.125737e+03 +3.890966e+02     Pix  3 25
+1.926484e-03 +7.296072e-01 +1.138121e+03 +3.546242e+02     Pix  3 26
+1.856524e-03 +7.274979e-01 +1.139835e+03 +3.858069e+02     Pix  3 27
+1.887796e-03 +7.309482e-01 +1.133592e+03 +3.700499e+02     Pix  3 28
+1.972531e-03 +7.992506e-01 +1.107413e+03 +3.716320e+02     Pix  3 29
+1.881120e-03 +7.235366e-01 +1.127383e+03 +3.999324e+02     Pix  3 30
+1.950469e-03 +7.606038e-01 +1.120456e+03 +3.773850e+02     Pix  3 31
+1.934790e-03 +7.276752e-01 +1.137916e+03 +3.538799e+02     Pix  3 32
+1.995604e-03 +8.047923e-01 +1.104503e+03 +4.042577e+02     Pix  3 33
+2.116329e-03 +8.341469e-01 +1.065688e+03 +4.201828e+02     Pix  3 34
+1.942542e-03 +7.729671e-01 +1.115814e+03 +3.548530e+02     Pix  3 35
+1.939128e-03 +7.849812e-01 +1.110862e+03 +3.962576e+02     Pix  3 36
+1.840926e-03 +7.225730e-01 +1.132773e+03 +3.713131e+02     Pix  3 37
+2.013126e-03 +7.572238e-01 +1.117612e+03 +3.654037e+02     Pix  3 38
+1.868386e-03 +7.242254e-01 +1.141368e+03 +3.675440e+02     Pix  3 39
+1.877218e-03 +7.334821e-01 +1.135940e+03 +3.611518e+02     Pix  3 40
+1.773822e-03 +7.439808e-01 +1.141015e+03 +3.423896e+02     Pix  3 41
+1.854453e-03 +7.640160e-01 +1.131209e+03 +3.714160e+02     Pix  3 42
+1.968986e-03 +8.038678e-01 +1.093338e+03 +3.919179e+02     Pix  3 43
+1.917911e-03 +7.397420e-01 +1.120499e+03 +3.694446e+02     Pix  3 44
+1.852327e-03 +7.478663e-01 +1.134527e+03 +3.776346e+02     Pix  3 45
+1.740843e-03 +7.135742e-01 +1.164057e+03 +3.266678e+02     Pix  3 46
+1.864729e-03 +7.469678e-01 +1.136952e+03 +3.403891e+02     Pix  3 47
+1.859980e-03 +7.524655e-01 +1.128644e+03 +3.797641e+02     Pix  3 48
+2.009754e-03 +7.863928e-01 +1.111094e+03 +3.747843e+02     Pix  3 49
+1.883837e-03 +7.250570e-01 +1.129645e+03 +3.544272e+02     Pix  3 50
+1.875258e-03 +7.447647e-01 +1.130383e+03 +3.730717e+02     Pix  3 51
+1.809432e-03 +7.730441e-01 +1.120858e+03 +3.693956e+02     Pix  3 52
+1.872685e-03 +7.715620e-01 +1.126620e+03 +3.357149e+02     Pix  3 53
+1.918644e-03 +7.785824e-01 +1.120794e+03 +3.797397e+02     Pix  3 54
+1.921996e-03 +7.813930e-01 +1.111220e+03 +3.644559e+02     Pix  3 55
+1.951990e-03 +7.767347e-01 +1.102453e+03 +3.677439e+02     Pix  3 56
+1.870999e-03 +7.292527e-01 +1.139773e+03 +3.603145e+02     Pix  3 57
+1.981299e-03 +7.912788e-01 +1.101901e+03 +3.651281e+02     Pix  3 58
+1.840590e-03 +7.431891e-01 +1.133067e+03 +3.362350e+02     Pix  3 59
+1.960913e-03 +7.708783e-01 +1.118279e+03 +3.701416e+02     Pix  3 60
+1.903173e-03 +7.522705e-01 +1.132492e+03 +3.448782e+02     Pix  3 61
+1.649433e-03 +6.576233e-01 +1.196156e+03 +2.976099e+02     Pix  3 62
+1.773002e-03 +7.668302e-01 +1.132667e+03 +3.593185e+02     Pix  3 63
+1.858188e-03 +7.555040e-01 +1.131694e+03 +3.472183e+02     Pix  3 64
+1.837624e-03 +7.421208e-01 +1.140085e+03 +3.230332e+02     Pix  3 65
+1.803848e-03 +7.125395e-01 +1.165175e+03 +3.401637e+02     Pix  3 66
+1.755015e-03 +7.268931e-01 +1.157739e+03 +3.327210e+02     Pix  3 67
+1.723443e-03 +6.656121e-01 +1.193089e+03 +2.932313e+02     Pix  3 68
+1.768140e-03 +7.140285e-01 +1.152081e+03 +3.518894e+02     Pix  3 69
+1.805189e-03 +7.288043e-01 +1.153513e+03 +3.310067e+02     Pix  3 70
+1.821028e-03 +7.881033e-01 +1.117116e+03 +3.520267e+02     Pix  3 71
