Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+4.471658e-03 +1.144954e+00 +5.986602e+02 +5.158229e+01     Pix  3 34
+4.591925e-03 +1.210420e+00 +5.940392e+02 +5.251350e+01     Pix  3 35
+4.577981e-03 +1.233621e+00 +5.917403e+02 +6.063261e+01     Pix  3 36
+4.454619e-03 +1.178455e+00 +6.034942e+02 +5.136585e+01     Pix  3 37
+4.464480e-03 +1.200698e+00 +6.064116e+02 +4.486387e+01     Pix  3 38
+4.392197e-03 +1.201289e+00 +6.035666e+02 +5.045068e+01     Pix  3 39
+4.304688e-03 +1.180604e+00 +6.052556e+02 +4.855655e+01     Pix  3 40
+4.264213e-03 +1.195282e+00 +6.138181e+02 +3.460202e+01     Pix  3 41
+4.283951e-03 +1.149245e+00 +6.138760e+02 +4.333013e+01     Pix  3 42
+4.434927e-03 +1.178265e+00 +6.006083e+02 +5.537164e+01     Pix  3 43
+4.349893e-03 +1.180144e+00 +6.060884e+02 +4.944688e+01     Pix  3 44
+4.542832e-03 +1.182029e+00 +5.967242e+02 +5.326152e+01     Pix  3 45
+4.292452e-03 +1.195425e+00 +6.112771e+02 +3.721618e+01     Pix  3 46
+4.322257e-03 +1.159866e+00 +6.043461e+02 +4.543290e+01     Pix  3 47
+4.351298e-03 +1.184473e+00 +6.002209e+02 +5.534622e+01     Pix  3 48
+4.305278e-03 +1.232632e+00 +6.075934e+02 +4.299635e+01     Pix  3 49
+4.312227e-03 +1.213875e+00 +6.166157e+02 +3.164814e+01     Pix  3 50
+4.232538e-03 +1.167143e+00 +6.136494e+02 +3.498491e+01     Pix  3 51
+4.373893e-03 +1.189011e+00 +6.087594e+02 +3.992448e+01     Pix  3 52
+4.394059e-03 +1.169176e+00 +5.987483e+02 +5.029187e+01     Pix  3 53
+4.359626e-03 +1.160571e+00 +6.110111e+02 +4.080822e+01     Pix  3 54
+4.353847e-03 +1.195825e+00 +6.035108e+02 +4.601478e+01     Pix  3 55
+4.302460e-03 +1.210903e+00 +6.119282e+02 +3.600425e+01     Pix  3 56
+4.302694e-03 +1.171450e+00 +6.066846e+02 +4.564885e+01     Pix  3 57
+4.320465e-03 +1.183161e+00 +6.061947e+02 +4.183699e+01     Pix  3 58
+4.407620e-03 +1.182260e+00 +6.117419e+02 +3.478457e+01     Pix  3 59
+4.294132e-03 +1.162883e+00 +6.116760e+02 +4.040888e+01     Pix  3 60
+4.104704e-03 +1.177459e+00 +6.257994e+02 +2.423942e+01     Pix  3 61
+4.160951e-03 +1.154730e+00 +6.233248e+02 +2.885606e+01     Pix  3 62
+4.294325e-03 +1.140015e+00 +6.154621e+02 +3.517364e+01     Pix  3 63
+4.368759e-03 +1.171034e+00 +6.098288e+02 +4.041354e+01     Pix  3 64
+4.289170e-03 +1.184665e+00 +6.129181e+02 +3.434772e+01     Pix  3 65
+4.232360e-03 +1.195643e+00 +6.180263e+02 +3.209075e+01     Pix  3 66
+4.216328e-03 +1.156963e+00 +6.178259e+02 +3.563166e+01     Pix  3 67
